tag,description
highlight,Highlight
Cuba,Monet's family is from Cuba and in this interview she explores her Cuban roots/ancestry 
Freedom,discussions of freedom and it's meaning
Writing process,Monet describes her writing process
Influence,Monet describes what influences her
Mother,monet describes her relationship to her mother
Blackness,describing Black identity and how it is lived. 
Travel,discussions of travel 
Senses,Monet describes her sense and how she uses them. 
Emotion,descriptions of emotion
Bonding,moments where interviewer/interviewee connect. 
Language,descriptions of using language
Politics,description of political events and sacrifices
Longing,descriptions of wanting something more or different.
